Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Year/Year,,0.00%,1.20%,-3.20%,0.021,3.10%,-3.10%,0.023,0.40%,-3.30%,0.02,-8.40%,-7.60%,-0.007,-3.10%,4.70%,2.80%,0.60%,19.50%,25.50%,-0.10%,-6.40%,-0.10%
MIA,82,19755,3266,7022,0.465,1022,2765,0.37,2244,4257,0.527,1478,1806,0.818,766,2702,3468,2116,617,280,1038,1415,9032
Team/G,,240.9,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18,22,0.818,9.3,33,42.3,25.8,7.5,3.4,12.7,17.3,110.1
Lg Rank,,21,28,28,22,19,18,12,29,24,26,10,13,5,26,16,26,18,15,30,6,4,26
Year/Year,,-0.30%,1.60%,0.40%,0.005,4.30%,-3.10%,0.026,0.40%,2.90%,-0.013,-5.70%,-4.20%,-0.013,-3.80%,6.70%,4.20%,8.20%,-5.80%,15.20%,-6.10%,-6.70%,0.60%
Opponent,82,19755,3297,7056,0.467,1064,3018,0.353,2233,4038,0.553,1230,1577,0.78,757,2750,3507,2173,543,388,1126,1550,8888
Opponent/G,,240.9,40.2,86,0.467,13,36.8,0.353,27.2,49.2,0.553,15,19.2,0.78,9.2,33.5,42.8,26.5,6.6,4.7,13.7,18.9,108.4
Lg Rank,,21,3,3,10,16,24,5,4,3,20,3,3,12,3,20,11,14,4,10,16,11,3
Year/Year,,-0.30%,0.30%,3.40%,-0.015,-1.20%,2.90%,-0.015,1.00%,3.80%,-0.016,-8.90%,-8.70%,-0.001,3.80%,1.80%,2.20%,3.60%,-4.90%,25.60%,-12.60%,-5.70%,-1.30%
MIL,82,19805,3538,7258,0.487,1163,3122,0.373,2375,4136,0.574,1517,1960,0.774,772,2850,3622,2176,558,413,1059,1574,9756
Team/G,,241.5,43.1,88.5,0.487,14.2,38.1,0.373,29,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5,12.9,19.2,119
Lg Rank,,10,8,19,7,5,5,11,18,26,3,7,3,19,24,3,9,17,26,15,9,21,4
Year/Year,,-0.10%,1.00%,-2.10%,0.015,-4.40%,-5.60%,0.004,3.80%,0.80%,0.017,11.20%,6.70%,0.031,-15.50%,-7.30%,-9.20%,2.90%,7.10%,2.50%,-11.70%,6.30%,1.70%
Opponent,82,19805,3543,7537,0.47,1032,2897,0.356,2511,4640,0.541,1423,1764,0.807,843,2765,3608,2169,580,347,986,1576,9541
Opponent/G,,241.5,43.2,91.9,0.47,12.6,35.3,0.356,30.6,56.6,0.541,17.4,21.5,0.807,10.3,33.7,44,26.5,7.1,4.2,12,19.2,116.4
Lg Rank,,10,21,27,14,12,14,9,23,27,16,21,13,29,9,22,18,13,10,3,29,9,21
Year/Year,,-0.10%,1.70%,-1.40%,0.014,4.10%,3.50%,0.002,0.80%,-4.20%,0.027,6.70%,2.60%,0.031,-4.10%,0.80%,-0.40%,10.50%,0.30%,7.40%,1.60%,1.20%,2.70%
MIN,82,19805,3383,6974,0.485,1037,2681,0.387,2346,4293,0.546,1461,1881,0.777,770,2807,3577,2184,647,497,1162,1544,9264
Team/G,,241.5,41.3,85,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113
Lg Rank,,10,23,29,10,15,23,3,21,23,16,11,8,18,25,5,15,15,6,5,22,18,18
Year/Year,,-0.10%,-3.80%,-2.70%,-0.005,4.00%,-1.80%,0.022,-6.80%,-3.20%,-0.021,-0.40%,-3.10%,0.021,2.80%,4.50%,4.10%,1.80%,-1.50%,11.90%,-7.60%,-12.70%,-2.40%
Opponent,82,19805,3198,7114,0.45,937,2645,0.354,2261,4469,0.506,1402,1794,0.781,843,2555,3398,2008,616,371,1166,1630,8735
Opponent/G,,241.5,39,86.8,0.45,11.4,32.3,0.354,27.6,54.5,0.506,17.1,21.9,0.781,10.3,31.2,41.4,24.5,7.5,4.5,14.2,19.9,106.5
Lg Rank,,10,1,6,1,3,4,7,5,19,1,17,19,14,9,5,4,3,18,5,7,3,1
Year/Year,,-0.10%,-6.70%,-2.20%,-0.022,-7.00%,-3.00%,-0.015,-6.60%,-1.80%,-0.026,-14.20%,-15.90%,0.015,-9.20%,-6.50%,-7.20%,-2.10%,-8.60%,10.40%,-7.60%,-1.50%,-8.00%
NOP,82,19705,3484,7165,0.486,1023,2673,0.383,2461,4492,0.548,1445,1873,0.771,852,2753,3605,2210,684,378,1067,1508,9436
Team/G,,240.3,42.5,87.4,0.486,12.5,32.6,0.383,30,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44,27,8.3,4.6,13,18.4,115.1
Lg Rank,,26,12,23,9,18,24,4,9,12,14,13,9,21,17,10,13,13,3,22,11,11,13
Year/Year,,-0.80%,1.10%,-0.20%,0.006,13.80%,8.30%,0.018,-3.40%,-4.70%,0.007,-8.80%,-6.30%,-0.021,-1.60%,1.30%,0.60%,4.10%,0.40%,12.20%,-10.80%,-10.10%,0.60%
Opponent,82,19705,3317,7155,0.464,1109,3176,0.349,2208,3979,0.555,1331,1699,0.783,826,2644,3470,2196,536,424,1168,1507,9074
Opponent/G,,240.3,40.5,87.3,0.464,13.5,38.7,0.349,26.9,48.5,0.555,16.2,20.7,0.783,10.1,32.2,42.3,26.8,6.5,5.2,14.2,18.4,110.7
Lg Rank,,26,5,10,7,24,29,2,2,2,22,8,7,15,6,9,8,17,3,19,6,18,8
Year/Year,,-0.80%,-1.20%,0.70%,-0.009,10.70%,7.60%,0.01,-6.20%,-4.20%,-0.012,-11.70%,-12.20%,0.005,4.30%,0.40%,1.30%,7.40%,-10.70%,9.80%,-4.90%,-9.90%,-1.60%
NYK,82,19730,3385,7272,0.465,1083,2936,0.369,2302,4336,0.531,1396,1789,0.78,1039,2665,3704,1998,612,336,1085,1447,9249
Team/G,,240.6,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8
Lg Rank,,23,22,18,20,10,13,14,24,20,22,16,14,16,1,21,5,29,17,29,15,6,19
Year/Year,,-1.10%,-1.70%,-0.80%,-0.004,4.40%,0.20%,0.015,-4.40%,-1.40%,-0.016,-12.10%,-14.30%,0.019,0.80%,-4.50%,-3.10%,6.30%,16.10%,-1.20%,1.90%,-13.10%,-2.80%
Opponent,82,19730,3304,7026,0.47,1028,2813,0.365,2276,4213,0.54,1237,1620,0.764,839,2492,3331,2098,552,431,1082,1565,8873
Opponent/G,,240.6,40.3,85.7,0.47,12.5,34.3,0.365,27.8,51.4,0.54,15.1,19.8,0.764,10.2,30.4,40.6,25.6,6.7,5.3,13.2,19.1,108.2
Lg Rank,,23,4,2,15,10,12,17,6,4,13,4,4,1,8,2,2,8,6,20,21,10,2
Year/Year,,-1.10%,-1.20%,-2.80%,0.008,-3.70%,-6.00%,0.008,0.00%,-0.60%,0.003,-18.60%,-16.60%,-0.019,1.10%,-4.80%,-3.40%,1.70%,11.30%,16.50%,3.60%,-7.60%,-4.30%
OKC,82,19805,3653,7324,0.499,1090,2805,0.389,2563,4519,0.567,1451,1759,0.825,722,2725,3447,2223,694,538,1039,1545,9847
Team/G,,241.5,44.5,89.3,0.499,13.3,34.2,0.389,31.3,55.1,0.567,17.7,21.5,0.825,8.8,33.2,42,27.1,8.5,6.6,12.7,18.8,120.1
Lg Rank,,10,2,15,3,8,16,1,4,10,5,12,17,4,29,12,27,11,1,1,7,19,3
Year/Year,,-0.30%,3.40%,-3.50%,0.033,9.50%,0.30%,0.033,1.00%,-5.70%,0.038,-7.70%,-9.50%,0.016,-22.70%,3.00%,-3.70%,11.00%,2.70%,57.80%,-2.80%,-10.30%,2.20%
Opponent,82,19805,3328,7322,0.455,1101,3052,0.361,2227,4270,0.522,1482,1878,0.789,968,2695,3663,2207,582,419,1287,1548,9239
Opponent/G,,241.5,40.6,89.3,0.455,13.4,37.2,0.361,27.2,52.1,0.522,18.1,22.9,0.789,11.8,32.9,44.7,26.9,7.1,5.1,15.7,18.9,112.7
Lg Rank,,10,8,18,3,23,26,12,3,8,4,23,23,20,29,13,23,18,11,18,1,12,11
Year/Year,,-0.30%,-3.20%,1.00%,-0.019,4.00%,3.30%,0.002,-6.30%,-0.60%,-0.032,-8.00%,-10.10%,0.018,-1.40%,-5.10%,-4.20%,3.80%,1.70%,-7.70%,-6.40%,-7.60%,-3.20%
ORL,82,19780,3318,6964,0.476,903,2568,0.352,2415,4396,0.549,1519,2002,0.759,861,2608,3469,2023,669,423,1206,1618,9058
Team/G,,241.2,40.5,84.9,0.476,11,31.3,0.352,29.5,53.6,0.549,18.5,24.4,0.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5
Lg Rank,,17,26,30,15,30,29,24,12,15,12,6,1,26,15,25,25,28,5,13,24,23,24
Year/Year,,0.00%,-0.20%,-1.60%,0.007,2.30%,0.70%,0.005,-1.00%,-2.80%,0.01,-5.50%,-2.30%,-0.025,3.40%,-3.90%,-2.20%,6.10%,10.90%,10.70%,-2.40%,-2.10%,-0.90%
Opponent,82,19780,3264,6884,0.474,945,2636,0.358,2319,4248,0.546,1419,1819,0.78,731,2537,3268,1958,666,379,1234,1710,8892
Opponent/G,,241.2,39.8,84,0.474,11.5,32.1,0.358,28.3,51.8,0.546,17.3,22.2,0.78,8.9,30.9,39.9,23.9,8.1,4.6,15,20.9,108.4
Lg Rank,,17,2,1,18,4,3,10,9,7,18,20,20,13,1,3,1,1,23,7,3,1,4
Year/Year,,0.00%,-3.70%,-3.40%,-0.001,-11.20%,-13.00%,0.007,-0.30%,3.70%,-0.022,-5.70%,-3.80%,-0.016,-6.20%,-4.90%,-5.20%,-7.70%,5.00%,-8.70%,2.50%,1.70%,-4.90%
PHI,82,19780,3404,7331,0.464,992,2733,0.363,2412,4598,0.525,1597,1934,0.826,906,2616,3522,2041,694,492,984,1668,9397
Team/G,,241.2,41.5,89.4,0.464,12.1,33.3,0.363,29.4,56.1,0.525,19.5,23.6,0.826,11,31.9,43,24.9,8.5,6,12,20.3,114.6
Lg Rank,,17,21,14,23,22,19,18,13,8,27,1,4,2,9,23,20,24,1,6,2,27,15
Year/Year,,-0.50%,1.70%,6.70%,-0.023,-4.20%,2.20%,-0.024,4.30%,9.60%,-0.027,-7.10%,-6.00%,-0.01,26.70%,-0.90%,4.90%,-1.10%,9.30%,26.50%,-12.20%,-0.40%,-0.50%
Opponent,82,19780,3322,7098,0.468,979,2765,0.354,2343,4333,0.541,1524,1926,0.791,903,2742,3645,2143,506,503,1201,1519,9147
Opponent/G,,241.2,40.5,86.6,0.468,11.9,33.7,0.354,28.6,52.8,0.541,18.6,23.5,0.791,11,33.4,44.5,26.1,6.2,6.1,14.6,18.5,111.5
Lg Rank,,17,6,4,11,6,7,6,12,10,15,25,25,22,25,18,22,10,1,27,4,17,9
Year/Year,,-0.50%,0.30%,1.30%,-0.005,2.80%,1.10%,0.006,-0.70%,1.50%,-0.012,0.40%,-0.90%,0.01,15.50%,5.70%,8.00%,7.90%,-6.30%,32.40%,2.60%,-5.50%,0.60%
PHO,82,19780,3482,7063,0.493,1020,2671,0.382,2462,4392,0.561,1548,1915,0.808,831,2783,3614,2218,610,492,1221,1475,9532
Team/G,,241.2,42.5,86.1,0.493,12.4,32.6,0.382,30,53.6,0.561,18.9,23.4,0.808,10.1,33.9,44.1,27,7.4,6,14.9,18,116.2
Lg Rank,,17,13,27,5,20,25,5,8,16,10,3,6,6,19,7,10,12,18,6,25,8,10
Year/Year,,0.00%,0.80%,-4.40%,0.026,1.90%,-0.10%,0.008,0.40%,-6.80%,0.04,9.60%,7.50%,0.016,-14.40%,4.70%,-0.40%,-0.80%,4.30%,13.90%,10.00%,-15.20%,2.30%
Opponent,82,19780,3444,7428,0.464,1074,2949,0.364,2370,4479,0.529,1319,1705,0.774,898,2490,3388,2155,685,372,1043,1612,9281
Opponent/G,,241.2,42,90.6,0.464,13.1,36,0.364,28.9,54.6,0.529,16.1,20.8,0.774,11,30.4,41.3,26.3,8.4,4.5,12.7,19.7,113.2
Lg Rank,,17,17,23,8,18,19,15,17,20,6,7,9,7,22,1,3,11,26,6,24,5,13
Year/Year,,0.00%,5.00%,5.50%,-0.002,14.50%,12.20%,0.007,1.20%,1.40%,-0.001,-20.10%,-18.80%,-0.012,6.90%,-7.00%,-3.60%,12.50%,16.50%,13.80%,-11.80%,-1.00%,1.40%
POR,82,19880,3227,7356,0.439,939,2723,0.345,2288,4633,0.494,1329,1680,0.791,1036,2469,3505,1894,627,354,1249,1654,8722
Team/G,,242.4,39.4,89.7,0.439,11.5,33.2,0.345,27.9,56.5,0.494,16.2,20.5,0.791,12.6,30.1,42.7,23.1,7.6,4.3,15.2,20.2,106.4
Lg Rank,,2,29,10,29,28,20,30,26,6,30,20,23,9,2,30,22,30,12,27,29,26,29
Year/Year,,0.80%,-2.70%,5.10%,-0.035,-11.10%,-5.90%,-0.02,1.20%,12.80%,-0.057,-17.40%,-16.90%,-0.005,33.90%,-3.20%,5.40%,-4.40%,13.40%,-5.90%,5.40%,0.70%,-6.20%
Opponent,82,19880,3485,7104,0.491,957,2730,0.351,2528,4374,0.578,1535,1938,0.792,868,2726,3594,2225,729,528,1173,1467,9462
Opponent/G,,242.4,42.5,86.6,0.491,11.7,33.3,0.351,30.8,53.3,0.578,18.7,23.6,0.792,10.6,33.2,43.8,27.1,8.9,6.4,14.3,17.9,115.4
Lg Rank,,2,19,5,25,5,6,3,25,12,30,27,26,24,14,15,17,21,29,28,5,26,19
Year/Year,,0.80%,-1.10%,-1.00%,0,-7.00%,0.50%,-0.028,1.40%,-1.90%,0.019,-1.30%,-2.00%,0.006,1.30%,1.50%,1.40%,0.50%,13.90%,50.00%,5.90%,-12.60%,-1.70%
SAC,82,19855,3553,7455,0.477,1178,3219,0.366,2375,4236,0.561,1274,1710,0.745,888,2719,3607,2324,625,342,1078,1632,9558
Team/G,,242.1,43.3,90.9,0.477,14.4,39.3,0.366,29,51.7,0.561,15.5,20.9,0.745,10.8,33.2,44,28.3,7.6,4.2,13.1,19.9,116.6
Lg Rank,,3,7,6,14,4,3,16,18,25,9,27,21,30,12,15,12,7,13,28,13,24,9
Year/Year,,0.10%,-0.60%,3.10%,-0.017,4.40%,5.20%,-0.003,-2.90%,1.50%,-0.025,-21.60%,-16.80%,-0.045,13.60%,0.70%,3.60%,3.90%,8.90%,24.40%,-2.50%,1.00%,-3.40%
Opponent,82,19855,3414,7114,0.48,1074,2775,0.387,2340,4339,0.539,1513,1892,0.8,747,2740,3487,2208,606,370,1139,1504,9415
Opponent/G,,242.1,41.6,86.8,0.48,13.1,33.8,0.387,28.5,52.9,0.539,18.5,23.1,0.8,9.1,33.4,42.5,26.9,7.4,4.5,13.9,18.3,114.8
Lg Rank,,3,16,6,21,18,9,29,11,11,9,24,24,27,2,17,9,19,17,4,12,19,17
Year/Year,,0.10%,-4.90%,-2.40%,-0.013,5.10%,1.30%,0.014,-8.80%,-4.60%,-0.025,2.20%,0.50%,0.013,-6.00%,2.80%,0.80%,1.00%,1.30%,8.50%,-2.20%,-12.10%,-2.70%
SAS,82,19830,3438,7436,0.462,1036,2983,0.347,2402,4453,0.539,1280,1637,0.782,849,2778,3627,2449,584,520,1242,1414,9192
Team/G,,241.8,41.9,90.7,0.462,12.6,36.4,0.347,29.3,54.3,0.539,15.6,20,0.782,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1
Lg Rank,,7,18,7,25,16,11,28,15,14,19,25,28,14,18,8,8,2,22,3,27,3,23
Year/Year,,-0.10%,-2.70%,-2.10%,-0.003,13.70%,13.00%,0.002,-8.40%,-10.10%,0.01,-0.90%,-5.90%,0.039,-12.00%,6.10%,1.20%,9.70%,2.10%,61.50%,-0.90%,-13.30%,-0.80%
Opponent,82,19830,3684,7570,0.487,1040,2791,0.373,2644,4779,0.553,1316,1679,0.784,860,2857,3717,2296,733,380,1098,1470,9724
Opponent/G,,241.8,44.9,92.3,0.487,12.7,34,0.373,32.2,58.3,0.553,16,20.5,0.784,10.5,34.8,45.3,28,8.9,4.6,13.4,17.9,118.6
Lg Rank,,7,29,28,23,13,11,23,28,28,21,6,6,16,12,28,27,24,30,8,20,25,24
Year/Year,,-0.10%,-2.50%,1.50%,-0.02,0.40%,5.30%,-0.018,-3.60%,-0.60%,-0.017,-12.00%,-13.50%,0.013,-1.90%,1.60%,0.80%,4.50%,10.20%,-11.80%,-3.30%,-3.00%,-3.60%
TOR,82,19805,3466,7356,0.471,942,2712,0.347,2524,4644,0.543,1339,1772,0.756,891,2607,3498,2335,634,388,1147,1509,9213
Team/G,,241.5,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.7,28.5,7.7,4.7,14,18.4,112.4
Lg Rank,,10,15,10,16,26,22,27,5,4,18,18,16,29,11,26,23,6,10,19,20,12,21
Year/Year,,0.00%,0.90%,-1.80%,0.013,7.00%,3.30%,0.012,-1.20%,-4.50%,0.018,-11.10%,-7.80%,-0.028,-14.60%,4.90%,-0.90%,19.10%,-17.90%,-8.50%,20.00%,-8.00%,-0.40%
Opponent,82,19805,3669,7476,0.491,1120,2979,0.376,2549,4497,0.567,1283,1627,0.789,919,2785,3704,2346,595,474,1137,1487,9741
Opponent/G,,241.5,44.7,91.2,0.491,13.7,36.3,0.376,31.1,54.8,0.567,15.6,19.8,0.789,11.2,34,45.2,28.6,7.3,5.8,13.9,18.1,118.8
Lg Rank,,10,28,24,26,26,21,24,26,22,26,5,5,19,28,23,26,27,13,23,13,22,25
Year/Year,,0.00%,10.80%,10.70%,0,11.90%,11.30%,0.002,10.30%,10.30%,0,-14.90%,-14.10%,-0.008,21.40%,2.80%,6.90%,9.20%,20.90%,26.10%,-16.80%,-7.30%,6.70%
UTA,82,19805,3443,7371,0.467,1060,2993,0.354,2383,4378,0.544,1538,1853,0.83,1002,2725,3727,2232,537,458,1285,1523,9484
Team/G,,241.5,42,89.9,0.467,12.9,36.5,0.354,29.1,53.4,0.544,18.8,22.6,0.83,12.2,33.2,45.5,27.2,6.5,5.6,15.7,18.6,115.7
Lg Rank,,10,17,9,19,13,10,22,16,18,17,4,10,1,4,12,3,10,29,9,30,16,11
Year/Year,,0.00%,-1.20%,0.10%,-0.006,-3.10%,-3.40%,0.001,-0.30%,2.60%,-0.016,0.10%,-5.20%,0.044,3.50%,-2.50%,-0.90%,4.80%,7.40%,6.80%,2.10%,-9.30%,-1.20%
Opponent,82,19805,3654,7509,0.487,1213,3070,0.395,2441,4439,0.55,1364,1768,0.771,900,2564,3464,2442,704,528,1009,1577,9885
Opponent/G,,241.5,44.6,91.6,0.487,14.8,37.4,0.395,29.8,54.1,0.55,16.6,21.6,0.771,11,31.3,42.2,29.8,8.6,6.4,12.3,19.2,120.5
Lg Rank,,10,26,25,22,30,27,30,20,18,19,12,14,5,23,6,6,30,27,28,28,8,29
Year/Year,,0.00%,2.80%,-0.10%,0.014,18.60%,8.50%,0.034,-3.60%,-5.30%,0.009,-11.70%,-11.10%,-0.005,-2.10%,-3.00%,-2.80%,19.30%,10.20%,30.40%,-2.00%,-6.10%,2.10%
WAS,82,19730,3523,7493,0.47,1015,2915,0.348,2508,4578,0.548,1266,1657,0.764,755,2613,3368,2288,623,415,1147,1637,9327
Team/G,,240.6,43,91.4,0.47,12.4,35.5,0.348,30.6,55.8,0.548,15.4,20.2,0.764,9.2,31.9,41.1,27.9,7.6,5.1,14,20,113.7
Lg Rank,,23,11,4,17,21,14,25,6,9,15,28,25,24,28,24,29,9,14,14,20,25,17
Year/Year,,-0.10%,1.90%,5.10%,-0.015,9.70%,12.10%,-0.007,-0.90%,1.10%,-0.011,-12.20%,-9.80%,-0.021,-2.50%,-6.80%,-5.90%,9.80%,11.10%,-2.10%,-0.90%,6.40%,0.50%
Opponent,82,19730,3777,7618,0.496,1007,2782,0.362,2770,4836,0.573,1528,1966,0.777,993,3020,4013,2382,655,496,1152,1473,10089
Opponent/G,,240.6,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59,0.573,18.6,24,0.777,12.1,36.8,48.9,29,8,6,14,18,123
Lg Rank,,23,30,29,29,8,10,13,29,29,28,26,27,10,30,30,30,29,22,26,9,23,30
Year/Year,,-0.10%,8.50%,3.50%,0.023,2.30%,3.50%,-0.004,10.90%,3.40%,0.039,6.70%,9.60%,-0.021,12.50%,14.20%,13.70%,17.10%,12.70%,22.20%,14.30%,-,